버스정류장ars번호,시간대,승차비율,하차비율
05145,21,2.26,3.52
05145,22,1.91,3.66
05146,0,2.32,6.76
05146,1,0.0,0.0
05146,2,0.0,0.0
05146,3,0.0,0.0
05146,4,0.0,0.0
05146,6,1.87,1.07
05146,7,7.48,2.21
05146,8,8.25,5.71
05146,9,4.3,3.85
05146,10,3.21,3.06
05146,11,3.23,2.59
05146,12,3.5,2.66
05146,13,3.47,3.7
05146,14,6.12,4.45
05146,15,12.24,5.59
05146,16,17.18,6.35
05146,17,7.84,8.03
05146,18,7.51,15.08
05146,19,3.5,10.84
05146,20,3.0,6.73
05146,21,2.8,6.03
05146,22,2.18,5.28
05148,0,10.14,5.74
05148,1,0.0,0.0
05148,2,0.0,0.0
05148,3,0.0,0.0
05148,4,0.0,0.0
05148,6,1.52,1.59
05148,7,3.05,2.86
05148,8,4.09,7.95
05148,9,3.52,5.65
05148,10,2.62,3.87
05148,11,2.83,3.38
05148,12,2.55,3.78
05148,13,3.24,4.08
05148,14,4.69,5.07
05148,15,5.32,5.52
05148,16,7.74,6.71
05148,17,9.74,7.5
05148,18,15.26,10.79
05148,19,7.09,8.11
05148,20,5.31,6.0
05148,21,6.11,5.73
05148,22,5.17,5.66
05152,0,1.45,6.36
05152,1,0.0,0.0
05152,2,0.0,0.0
05152,3,0.0,0.0
05152,4,0.0,0.0
05152,6,2.84,1.71
05152,7,9.49,3.25
05152,8,8.24,6.0
05152,9,6.84,4.54
05152,10,4.37,4.08
05152,11,3.47,3.92
05152,12,3.96,3.8
05152,13,3.94,4.21
05152,14,4.18,4.73
05152,15,5.65,6.19
05152,16,8.57,8.15
05152,17,9.61,7.9
05152,18,9.79,11.1
05152,19,6.47,8.56
05152,20,5.39,5.78
05152,21,3.49,4.79
05152,22,2.24,4.94
05154,0,1.91,5.53
05154,1,0.0,0.0
05154,2,0.0,0.0
05154,3,0.0,0.0
05154,4,0.0,0.0
05154,6,2.28,0.95
05154,7,12.25,4.41
05154,8,6.3,9.13
05154,9,6.52,5.52
05154,10,3.39,2.81
05154,11,3.5,3.4
05154,12,3.67,3.58
05154,13,3.62,3.62
05154,14,4.33,4.39
